TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612763,Vancouver Grizzlies,38,9,29,0.237,131.48333333333332,57,160,0.356,14,44,0.318,88,114,0.772,23,75,98,42,41.0,21,20,11,84,1,216,-66.0,22,29,26,29,27,29,29,27,24,27,14,27,27,9,29,27,28,22,8,19,14,3,4,3,28,27,1996-97
1610612764,Washington Bullets,45,20,25,0.444,203.30333333333334,131,316,0.415,12,48,0.25,125,177,0.706,56,117,173,71,54.0,36,27,25,116,0,399,-11.0,10,17,21,18,5,4,5,10,27,24,26,13,10,25,7,8,8,7,19,4,2,23,16,15,7,18,1996-97
1610612737,Atlanta Hawks,42,25,17,0.595,187.66833333333332,122,278,0.439,12,55,0.218,137,188,0.729,55,117,172,55,47.0,27,27,16,108,1,393,35.0,13,7,9,8,8,6,9,5,20,11,23,10,7,23,10,8,8,14,10,11,3,7,12,7,7,8,1997-98
1610612738,Boston Celtics,44,24,20,0.545,149.96,88,249,0.353,14,61,0.23,113,159,0.711,58,77,135,44,36.0,31,15,18,109,1,303,-23.0,10,10,13,14,20,22,13,22,16,7,22,16,15,25,7,26,18,25,4,3,21,14,14,7,21,18,1997-98
1610612766,Charlotte Hornets,42,31,11,0.738,152.51333333333332,116,233,0.498,18,40,0.45,110,145,0.759,51,85,136,79,38.0,30,13,14,90,2,360,74.0,13,2,2,1,19,8,20,1,6,26,1,18,20,12,13,23,17,2,6,7,24,5,7,2,11,3,1997-98
1610612741,Chicago Bulls,39,23,16,0.59,149.6,99,238,0.416,6,48,0.125,114,150,0.76,37,87,124,48,26.0,22,20,16,95,2,318,16.0,20,12,8,9,21,17,18,12,27,20,27,15,18,11,26,22,25,19,1,19,11,7,10,2,17,12,1997-98
1610612739,Cleveland Cavaliers,43,22,21,0.512,181.48,95,273,0.348,17,49,0.347,133,187,0.711,49,118,167,58,61.0,43,23,30,122,0,340,0.0,12,15,15,15,10,19,12,25,8,19,7,11,8,24,16,7,12,11,26,1,4,27,22,16,13,14,1997-98
1610612742,Dallas Mavericks,42,11,31,0.262,176.045,103,295,0.349,18,65,0.277,98,131,0.748,55,114,169,46,50.0,30,23,18,112,1,322,-44.0,13,26,26,28,12,13,8,24,6,5,14,22,22,15,10,9,10,24,13,7,4,14,17,7,16,22,1997-98
1610612743,Denver Nuggets,29,5,24,0.172,105.71,51,148,0.345,14,44,0.318,68,90,0.756,25,63,88,23,49.0,17,17,20,76,1,184,-46.0,29,29,19,29,29,29,29,28,16,22,10,29,29,13,29,29,29,29,12,27,18,18,3,7,29,25,1997-98
1610612765,Detroit Pistons,53,20,33,0.377,229.67333333333335,139,342,0.406,22,86,0.256,159,207,0.768,56,133,189,72,59.0,22,23,21,148,0,459,-45.0,1,17,29,22,1,2,2,14,3,1,17,3,3,7,8,1,1,6,24,19,4,20,28,16,2,23,1997-98
1610612744,Golden State Warriors,32,11,21,0.344,137.405,74,205,0.361,3,25,0.12,81,105,0.771,40,95,135,41,46.0,16,13,19,89,0,232,-38.0,28,26,15,24,28,27,27,20,29,29,29,27,27,6,24,16,18,27,8,28,24,17,6,16,28,21,1997-98
1610612745,Houston Rockets,36,18,18,0.5,139.43,95,222,0.428,16,50,0.32,76,102,0.745,43,71,114,55,42.0,18,11,13,81,0,282,-17.0,25,21,11,17,26,19,23,8,12,18,9,28,28,16,22,28,27,14,7,23,28,3,4,16,25,16,1997-98
1610612754,Indiana Pacers,52,35,17,0.673,203.83666666666667,116,278,0.417,27,76,0.355,173,216,0.801,45,133,178,71,60.0,27,13,21,127,1,432,86.0,2,1,9,5,5,8,9,11,1,2,6,2,1,2,20,1,7,7,25,11,24,20,23,7,4,1,1997-98
1610612746,Los Angeles Clippers,36,11,25,0.306,140.36333333333334,74,213,0.347,15,54,0.278,86,116,0.741,34,75,109,35,52.0,27,13,12,109,0,249,-76.0,25,26,21,26,25,27,25,26,14,12,13,26,26,18,27,27,28,28,18,11,24,2,14,16,27,29,1997-98
1610612747,Los Angeles Lakers,34,20,14,0.588,143.77,97,202,0.48,17,54,0.315,119,182,0.654,41,80,121,53,33.0,29,19,17,90,0,330,63.0,27,17,5,10,23,18,28,3,8,12,12,13,11,28,23,24,26,17,3,10,13,10,7,16,14,5,1997-98
1610612748,Miami Heat,38,23,15,0.605,138.78166666666667,81,225,0.36,22,61,0.361,96,126,0.762,46,88,134,47,27.0,18,14,13,71,0,280,36.0,22,12,6,7,27,25,22,21,3,7,5,24,23,10,18,21,20,22,2,23,22,3,1,16,26,7,1997-98
1610612749,Milwaukee Bucks,49,25,24,0.51,222.03833333333333,128,322,0.398,13,41,0.317,178,212,0.84,56,128,184,60,67.0,31,23,30,138,1,447,19.0,3,7,19,16,2,4,3,16,18,25,11,1,2,1,8,4,3,9,29,3,4,27,25,7,3,11,1997-98
1610612750,Minnesota Timberwolves,45,25,20,0.556,209.12833333333333,157,348,0.451,16,44,0.364,149,199,0.749,60,123,183,73,51.0,26,9,20,141,2,479,4.0,8,7,13,11,3,1,1,4,12,22,4,5,5,14,3,6,4,5,15,15,29,18,27,2,1,13,1997-98
1610612751,New Jersey Nets,49,23,26,0.469,207.04666666666665,123,322,0.382,12,52,0.231,142,193,0.736,76,113,189,55,55.0,24,19,27,148,1,400,-37.0,3,12,23,18,4,5,3,17,20,15,21,7,6,22,1,10,1,14,20,16,13,26,28,7,6,20,1997-98
1610612752,New York Knicks,47,20,27,0.426,193.925,108,306,0.353,17,72,0.236,138,181,0.762,60,105,165,60,55.0,30,16,17,139,0,371,-50.0,6,17,24,21,6,11,5,23,8,3,19,9,12,9,3,12,13,9,20,7,19,10,26,16,9,26,1997-98
